Year,Average Stock Price,Year Open,Year High,Year Low,Year Close,Annual % Change
2019,52.064,39.48,73.4125,35.5475,73.4125,86.16%
2018,47.2634,43.065,58.0175,36.7075,39.435,-6.79%
2017,37.6378,29.0375,44.105,29.005,42.3075,46.11%
2016,26.151,26.3375,29.5625,22.585,28.955,10.03%
2015,30.0096,27.3325,33.25,25.78,26.315,-4.64%
2014,23.0661,19.7546,29.75,17.8494,27.595,37.72%
2013,16.8798,19.6082,20.3604,13.9475,20.0364,5.42%
2012,20.5732,14.6868,25.075,14.6868,19.0062,31.40%
2011,13.0002,11.7704,15.08,11.2614,14.4643,25.56%
2010,9.2801,7.6432,11.6239,6.8589,11.52,53.07%
