Year,Average Stock Price,Year Open,Year High,Year Low,Year Close,Annual % Change
2019,174.5877,136.22,239.37,127.99,235.3,76.25%
2018,232.3841,199.35,289.36,127.08,133.5,-31.01%
2017,149.7837,102.01,216.96,95.49,193.5,81.28%
2016,53.7612,32.37,117.32,25.22,106.74,223.85%
2015,23.7178,20.13,33.75,19.135,32.96,64.39%
2014,18.5468,15.86,21.14,15.36,20.05,25.16%
2013,14.1888,12.72,16.22,11.98,16.02,30.67%
2012,13.5072,14.04,16.45,11.38,12.26,-11.54%
2011,16.8872,15.82,25.68,11.73,13.86,-10.00%
2010,13.5631,18.49,18.88,8.8825,15.4,-17.56%
